datetime,pps,cum_pnl_rate,daily_pnl_rate
2021-03-10 00:00:00,1.0000,0.0000,0.0000
2021-03-11 00:00:00,1.0104,0.0104,0.0104
2021-03-12 00:00:00,1.0472,0.0472,0.0364
2021-03-13 00:00:00,1.0367,0.0367,-0.0100
2021-03-14 00:00:00,1.1119,0.1119,0.0725
2021-03-15 00:00:00,1.0683,0.0683,-0.0392
2021-03-16 00:00:00,1.0003,0.0003,-0.0637
2021-03-17 00:00:00,1.0277,0.0277,0.0274
2021-03-18 00:00:00,1.0709,0.0709,0.0420
2021-03-19 00:00:00,1.0415,0.0415,-0.0275
2021-03-20 00:00:00,1.0512,0.0512,0.0093
2021-03-21 00:00:00,1.0522,0.0522,0.0010
