datetime,pps,cum_pnl_rate,daily_pnl_rate
2021-02-04 00:00:00,0.9921,0.0000,0.0000
2021-02-05 00:00:00,0.9920,-0.0001,-0.0001
2021-02-06 00:00:00,0.9938,0.0017,0.0018
2021-02-07 00:00:00,1.0055,0.0135,0.0118
2021-02-08 00:00:00,1.0013,0.0093,-0.0042
2021-02-09 00:00:00,1.1067,0.1155,0.1053
2021-02-10 00:00:00,1.1068,0.1156,0.0001
2021-02-11 00:00:00,1.0836,0.0922,-0.0210
2021-02-12 00:00:00,1.1325,0.1415,0.0451
2021-02-13 00:00:00,1.1236,0.1325,-0.0079
2021-02-14 00:00:00,1.1209,0.1298,-0.0024
2021-02-15 00:00:00,1.1448,0.1539,0.0213
2021-02-16 00:00:00,1.1340,0.1430,-0.0094
2021-02-17 00:00:00,1.1556,0.1648,0.0190
2021-02-18 00:00:00,1.2106,0.2202,0.0476
2021-02-19 00:00:00,1.2086,0.2182,-0.0017
2021-02-20 00:00:00,1.2524,0.2624,0.0362
2021-02-21 00:00:00,1.2518,0.2618,-0.0005
2021-02-22 00:00:00,1.2689,0.2790,0.0137
2021-02-23 00:00:00,1.2333,0.2431,-0.0281
2021-02-24 00:00:00,1.1739,0.1832,-0.0482
2021-02-25 00:00:00,1.1832,0.1926,0.0079
2021-02-26 00:00:00,1.1491,0.1583,-0.0288
2021-02-27 00:00:00,1.1430,0.1521,-0.0053
2021-02-28 00:00:00,1.1428,0.1519,-0.0002
2021-03-01 00:00:00,1.1361,0.1451,-0.0059
2021-03-02 00:00:00,1.1615,0.1707,0.0224
2021-03-03 00:00:00,1.1567,0.1659,-0.0041
2021-03-04 00:00:00,1.1655,0.1748,0.0076
2021-03-05 00:00:00,1.1566,0.1658,-0.0076
